"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка сообщения при весе меньше допустимого","4225","Проверка сообщения при весе меньше допустимого","Surefire suite","Thu Oct 09 11:45:14 UTC 2025","passed","Thu Oct 09 11:45:18 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testWeightBelowMinimumMessage"
"Проверка входа  в аккаунт негативными даннами","969","paramNegativeTest","Surefire suite","Thu Oct 09 11:47:12 UTC 2025","passed","Thu Oct 09 11:47:13 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка копирования тренировки","8567","Проверка копирования тренировки","Surefire suite","Thu Oct 09 11:46:23 UTC 2025","passed","Thu Oct 09 11:46:31 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkCopyWorkout"
"Проверка входа  в аккаунт негативными данными","1116","Проверка входа  в аккаунт негативными данными","Surefire suite","Thu Oct 09 11:47:04 UTC 2025","passed","Thu Oct 09 11:47:06 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
"Проверка входа  в аккаунт позитивными данными","2901","Проверка входа  в аккаунт позитивными данными","Surefire suite","Thu Oct 09 11:47:06 UTC 2025","passed","Thu Oct 09 11:47:09 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка изменения настроек пользователя","18871","Проверка изменения настроек пользователя","Surefire suite","Thu Oct 09 11:45:18 UTC 2025","passed","Thu Oct 09 11:45:37 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","CheckEditSettings"
"Проверка перехода в настройки профиля","7690","Проверка перехода в настройки профиля","Surefire suite","Thu Oct 09 11:46:12 UTC 2025","passed","Thu Oct 09 11:46:20 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkOpenSettingPage"
"Проверка отоброжения ошибки при сохранении профиля с пустым именем","17694","Проверка отоброжения ошибки при сохранении профиля с пустым именем ","Surefire suite","Thu Oct 09 11:45:54 UTC 2025","passed","Thu Oct 09 11:46:12 UTC 2025","tests.SettingTest","Surefire test","tests.SettingTest","checkEditProfileWithEmptyName"
"Проверка удаления тренировки","6255","Проверка удаления тренировки","Surefire suite","Thu Oct 09 11:46:36 UTC 2025","passed","Thu Oct 09 11:46:43 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkDeleteWorkout"
"Проверка смены месяца","4745","Проверка смены месяца","Surefire suite","Thu Oct 09 11:46:43 UTC 2025","passed","Thu Oct 09 11:46:48 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMonthChange"
"Проверка сообщения при весе больше допустимого","3431","Проверка сообщения при весе больше допустимого","Surefire suite","Thu Oct 09 11:45:10 UTC 2025","passed","Thu Oct 09 11:45:14 UTC 2025","tests.CaloricCalculatorTest","Surefire test","tests.CaloricCalculatorTest","testWeightAboveMaximumMessage"
"Проверка перемещения тренировки","7620","Проверка перемещения тренировки","Surefire suite","Thu Oct 09 11:46:48 UTC 2025","passed","Thu Oct 09 11:46:55 UTC 2025","tests.CalendarTest","Surefire test","tests.CalendarTest","checkMoveWorkout"
